date,om_precipitation_sum,om_temperature_2m_max,om_temperature_2m_min,om_relative_humidity_2m_max,om_windspeed_10m_max,power_allsky_sfc_sw_dwn,power_gwetroot,power_rh2m,power_t2m,power_t2m_max,power_t2m_min,power_prectotcorr,ndvi_s2,firms_count,firms_frp_mean,park,ecosystem,fire_within_30d,drought_within_30d,vegetation_within_30d
2020-01-06,0.0,28.3,15.1,28,15.8,18.89,0.25,25.89,21.65,29.65,15.53,0.0,,3,184.3333333333333,chad_basin,sahel,1.0,0.0,0.0
2020-01-07,0.0,29.5,17.3,49,12.8,19.19,0.57,59.68,21.87,29.3,15.81,0.0,0.2897002152398131,21,139.52380952380952,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-07,0.0,34.0,20.0,48,11.2,15.92,0.67,66.18,23.81,30.58,17.5,0.0,,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-07,0.0,35.2,20.4,67,9.4,19.07,0.73,66.98,26.61,32.62,21.82,0.0,,1,55.0,cross_river,rainforest,1.0,0.0,0.0
2020-01-07,0.0,33.2,17.2,30,16.6,20.09,0.46,40.32,21.93,30.45,15.4,0.0,0.1982941566784068,2,129.0,yankari,savanna,1.0,0.0,0.0
2020-01-07,0.0,30.5,16.1,28,17.5,20.06,0.24,23.41,22.59,31.59,15.06,0.0,0.2490893614503921,12,184.0833333333333,chad_basin,sahel,1.0,0.0,0.0
2020-01-07,0.0,30.8,19.8,45,12.8,15.79,0.61,63.6,23.04,29.2,16.68,0.0,,0,,kainji_lake,savanna,1.0,0.0,0.0
2020-01-08,0.0,31.3,17.6,23,18.1,21.25,0.24,20.0,23.62,32.85,16.11,0.0,,2,230.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-08,0.0,35.1,20.6,68,8.3,20.8,0.73,70.49,26.41,32.65,20.93,0.0,,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-08,0.0,30.0,18.4,47,13.3,22.98,0.57,57.82,22.5,30.45,15.84,0.0,,3,65.33333333333333,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-08,0.0,34.8,20.6,67,11.0,16.03,0.67,65.48,25.21,31.59,20.89,0.0,,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-08,0.0,34.6,18.4,24,17.3,22.3,0.46,38.27,22.91,31.96,15.51,0.0,,0,,yankari,savanna,1.0,0.0,0.0
2020-01-08,0.0,31.8,20.8,39,14.7,18.1,0.61,61.76,24.07,29.92,17.96,0.0,,1,66.0,kainji_lake,savanna,1.0,0.0,0.0
2020-01-09,0.0,32.3,20.2,41,14.8,19.26,0.6,59.91,23.41,29.79,16.58,0.0,,9,204.11111111111111,kainji_lake,savanna,1.0,0.0,0.0
2020-01-09,0.0,31.0,17.8,27,18.7,21.25,0.24,22.53,23.85,33.27,16.21,0.0,0.3758637790486296,2,174.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-09,0.0,35.7,21.6,39,12.6,19.6,0.67,64.22,23.79,31.39,18.28,0.0,,7,403.1428571428572,old_oyo,savanna,1.0,0.0,0.0
2020-01-09,0.0,30.0,19.1,42,14.8,22.91,0.57,55.33,22.44,30.1,15.55,0.0,0.4749693929209574,42,100.05162665678004,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-09,0.0,34.5,20.0,83,13.0,19.84,0.73,75.02,26.06,32.58,20.31,0.0,,4,92.5,cross_river,rainforest,1.0,0.0,0.0
2020-01-09,0.0,34.5,19.0,26,18.4,21.77,0.45,37.55,22.52,31.05,14.73,0.0,,2,84.5,yankari,savanna,1.0,0.0,0.0
2020-01-10,0.0,32.4,21.1,48,13.2,18.6,0.6,62.97,23.64,30.48,16.43,0.0,,2,171.0,kainji_lake,savanna,1.0,0.0,0.0
2020-01-10,0.0,34.2,19.5,77,10.7,18.33,0.67,72.5,23.44,29.14,18.98,0.0,,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-10,0.1,34.0,23.1,96,10.6,16.85,0.73,82.82,25.83,30.35,21.73,0.03,0.4378364975424789,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-10,0.0,30.6,18.4,44,10.3,22.52,0.56,55.82,23.09,30.41,17.1,0.0,,2,105.0,gashaka_gumti,mixed,1.0,0.0,0.0
