date,rain_7d,rain_30d,rain_60d,rain_deficit_30d,temp_max_7d,temp_max_30d,hot_days_30d,ndvi,ndvi_30d_lag,ndvi_change_30d,ndvi_90d_avg,ndvi_deviation,fire_30d,fire_90d,days_since_fire,doy_sin,doy_cos,dry_season,park_id,ecosystem_id,fire_within_30d,drought_within_30d,vegetation_within_30d,park,ecosystem,ndvi_missing,split
2020-03-01,0.0,0.0,0.0,-0.24193548387096775,37.08571428571429,35.419999999999995,16.0,0.1330695687910256,0.2145967454132376,-0.08152717662221198,0.19418994458339295,-0.06112037579236734,67.0,243.0,1.0,0.8670985522812081,0.4981366284784055,1,0,0,1.0,0.0,0.0,yankari,savanna,0,train
2020-03-01,0.0,0.0,0.0,-2.903225806451613,35.81428571428571,34.27333333333333,10.0,0.1586885236884929,0.2433294741202954,-0.0846409504318025,0.21313973023444766,-0.054451206545954756,327.0,701.0,1.0,0.8670985522812081,0.4981366284784055,1,3,0,1.0,0.0,0.0,kainji_lake,savanna,0,train
2020-03-01,0.30000000000000004,1.3,4.4,-64.69999999999999,37.68571428571429,36.403333333333336,28.0,0.6443531645288956,0.6469450530388929,-0.0025918885099973643,0.5153476225240505,0.12900554200484504,454.0,701.0,1.0,0.8670985522812081,0.4981366284784055,0,1,1,1.0,1.0,1.0,cross_river,rainforest,0,train
2020-03-01,0.0,0.0,0.0,-0.03225806451612903,34.471428571428575,32.31,4.0,0.2610317289509867,0.3188212036191888,-0.05778947466820211,0.2868435143183986,-0.02581178536741191,54.0,163.0,2.0,0.8670985522812081,0.4981366284784055,1,4,3,1.0,0.0,0.0,chad_basin,sahel,0,train
2020-03-01,0.0,0.0,0.1,-22.5,37.68571428571429,36.51333333333333,22.0,0.1694480977864139,0.3610820526533079,-0.191633954866894,0.2876037235793646,-0.11815562579295069,247.0,539.0,5.0,0.8670985522812081,0.4981366284784055,1,5,0,1.0,0.0,1.0,old_oyo,savanna,0,train
2020-03-01,0.0,0.0,0.0,-17.20967741935484,32.42857142857143,31.230000000000004,0.0,0.2599952626132332,0.3699521962771334,-0.10995693366390019,0.3851280919116145,-0.12513282929838132,599.0,2309.0,0.0,0.8670985522812081,0.4981366284784055,1,2,2,1.0,0.0,1.0,gashaka_gumti,mixed,0,train
2020-03-02,0.0,0.0,0.0,-0.24193548387096775,37.68571428571429,35.62,17.0,0.161638588903912,0.2086365682444607,-0.046997979340548696,0.19365631580176212,-0.032017726897850124,67.0,245.0,0.0,0.8755389928586302,0.4831474640149687,1,0,0,1.0,1.0,0.0,yankari,savanna,0,train
2020-03-02,0.0,0.0,0.0,-2.903225806451613,35.785714285714285,34.39,11.0,0.1586885236884929,0.2433294741202954,-0.0846409504318025,0.21220091632848292,-0.053512392639990025,276.0,704.0,0.0,0.8755389928586302,0.4831474640149687,1,3,0,1.0,0.0,0.0,kainji_lake,savanna,0,train
2020-03-02,2.2,2.2,2.3000000000000003,-20.3,37.300000000000004,36.51,22.0,0.1694480977864139,0.3610820526533079,-0.191633954866894,0.28556655761741717,-0.11611845983100327,223.0,540.0,0.0,0.8755389928586302,0.4831474640149687,1,5,0,1.0,0.0,1.0,old_oyo,savanna,0,train
2020-03-02,0.0,0.0,0.0,-0.03225806451612903,35.48571428571429,32.583333333333336,5.0,0.2145466952239982,0.2461804102593867,-0.031633715035388504,0.2856583205627527,-0.07111162533875451,50.0,163.0,3.0,0.8755389928586302,0.4831474640149687,1,4,3,1.0,0.0,0.0,chad_basin,sahel,0,train
2020-03-02,0.0,0.0,0.0,-17.20967741935484,32.6,31.333333333333332,0.0,0.2374910523929886,0.3480784042631174,-0.11058735187012883,0.3827078125752436,-0.14521676018225502,548.0,2312.0,0.0,0.8755389928586302,0.4831474640149687,1,2,2,1.0,0.0,1.0,gashaka_gumti,mixed,0,train
2020-03-02,1.6,2.6,5.7,-63.399999999999984,37.44285714285714,36.42333333333333,28.0,0.6443531645288956,0.6469450530388929,-0.0025918885099973643,0.5175718560068926,0.12678130852200298,468.0,720.0,0.0,0.8755389928586302,0.4831474640149687,0,1,1,1.0,1.0,1.0,cross_river,rainforest,0,train
