ecosystem,n_rows,rain_7d,rain_30d,rain_deficit_30d,temp_max_7d,hot_days_30d,ndvi,ndvi_deviation,fire_30d,days_since_fire
savanna,3256,10.84 ± 20.27,46.79 ± 73.17,-2.17 ± 42.92,33.66 ± 3.08,10.45 ± 11.15,0.30 ± 0.13,-0.00 ± 0.11,57.55 ± 106.10,46.38 ± 60.61
rainforest,913,32.22 ± 33.99,142.59 ± 128.15,-8.32 ± 63.33,32.20 ± 2.35,4.66 ± 7.78,0.40 ± 0.17,-0.00 ± 0.17,66.17 ± 113.60,53.59 ± 64.99
mixed,1199,19.61 ± 22.86,82.39 ± 81.43,-4.57 ± 40.85,29.86 ± 2.78,0.73 ± 1.83,0.44 ± 0.14,0.00 ± 0.14,288.81 ± 426.94,48.94 ± 61.55
sahel,1211,5.22 ± 13.50,22.09 ± 45.01,-7.72 ± 32.67,35.81 ± 3.97,16.71 ± 11.39,0.32 ± 0.10,0.00 ± 0.09,166.98 ± 196.49,4.25 ± 9.71
